kind	scale_design	df_label	n	k_extremes	magnitude	repetition	matched_c_delta	matched_correlation	matched_p_value	independent_null_c_delta	independent_null_correlation	independent_null_p_value
l2	common_scale_parameter	normal	80	2	8.0	210	1.20538144	0.89151401	0.00333333	1.12263638	0.46557129	0.01
l2	common_scale_parameter	normal	80	2	8.0	211	1.24177422	0.93965926	0.00333333	0.98239157	-0.07371424	0.87333333
l2	common_scale_parameter	normal	80	2	8.0	212	1.23800521	0.92358702	0.00333333	0.99172801	-0.03323267	0.54333333
l2	common_scale_parameter	normal	80	2	8.0	213	1.22335925	0.9020307	0.00333333	0.98879555	-0.04819899	0.71
l2	common_scale_parameter	normal	80	2	8.0	214	1.25169142	0.92612017	0.00333333	0.99495395	-0.02082549	0.44666667
l2	common_scale_parameter	normal	80	2	8.0	215	1.23786778	0.89342966	0.00333333	0.9782622	-0.07681561	0.90333333
l2	common_scale_parameter	normal	80	2	8.0	216	1.25880163	0.9335364	0.00333333	0.99604572	-0.01619293	0.39
l2	common_scale_parameter	normal	80	2	8.0	217	1.26772242	0.95552725	0.00333333	0.99237169	-0.03266037	0.53666667
l2	common_scale_parameter	normal	80	2	8.0	218	1.22906077	0.89108952	0.00333333	0.98726903	-0.04805151	0.65333333
l2	common_scale_parameter	normal	80	2	8.0	219	1.24060316	0.90770454	0.00666667	0.98627087	-0.05230724	0.73666667
