target_corr	kind	background	n	k_extremes	scenario	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
0.25	l1	t2	80	1	independent_null	10.0	0.2891	0.7343	0.05	220	399	14	0.0636	0.0383	0.104	0.623	0.0068	0.4787	0.04	0.5012	0.9126	0.0136
0.25	l1	t2	80	2	matched	7.0	0.2251	0.7331	0.05	220	399	83	0.3773	0.3158	0.4429	0.7187	0.1942	0.1085	0.0025	0.0825	0.3227	2.0
0.25	l1	t2	80	2	independent_null	7.0	0.2251	0.7331	0.05	220	399	15	0.0682	0.0418	0.1094	0.6602	0.0036	0.5046	0.0374	0.46	0.9701	0.0545
0.25	l1	t2	80	3	matched	7.0	0.2388	0.7426	0.05	220	399	129	0.5864	0.5203	0.6494	0.7565	0.2695	0.073	0.0025	0.0325	0.2527	3.0
0.25	l1	t2	80	3	independent_null	7.0	0.2388	0.7426	0.05	220	399	10	0.0455	0.0249	0.0816	0.6759	0.004	0.4798	0.0548	0.4725	0.9201	0.1227
0.25	l1	t2	160	1	matched	10.0	0.1317	0.655	0.05	220	399	67	0.3045	0.2475	0.3683	0.65	0.1262	0.1136	0.01	0.085	0.3256	1.0
0.25	l1	t2	160	1	independent_null	10.0	0.1317	0.655	0.05	220	399	11	0.05	0.0281	0.0873	0.5916	0.0017	0.4977	0.0498	0.4938	0.9451	0.0
0.25	l1	t2	160	2	matched	10.0	0.1989	0.6707	0.05	220	399	137	0.6227	0.5571	0.6842	0.6767	0.2092	0.052	0.0025	0.03	0.1901	2.0
0.25	l1	t2	160	2	independent_null	10.0	0.1989	0.6707	0.05	220	399	13	0.0591	0.0349	0.0985	0.5828	-0.001	0.5108	0.0399	0.5275	0.9477	0.0273
0.25	l1	t2	160	3	matched	10.0	0.2802	0.7098	0.05	220	399	176	0.8	0.7422	0.8475	0.6947	0.2595	0.0352	0.0025	0.0163	0.1427	3.0
0.25	l1	t2	160	3	independent_null	10.0	0.2802	0.7098	0.05	220	399	9	0.0409	0.0217	0.0759	0.591	-0.0016	0.5007	0.0596	0.5025	0.918	0.0545
0.25	l1	lognormal	40	1	matched	3.0	0.2652	0.8125	0.05	220	399	47	0.2136	0.1646	0.2725	0.8154	0.2454	0.1113	0.0124	0.1013	0.2379	1.0
0.25	l1	lognormal	40	1	independent_null	3.0	0.2652	0.8125	0.05	220	399	6	0.0273	0.0126	0.0582	0.7548	-0.0017	0.4985	0.0749	0.5137	0.943	0.0409
0.25	l1	lognormal	40	2	matched	2.5	0.2585	0.8413	0.05	220	399	71	0.3227	0.2644	0.3871	0.8505	0.2877	0.0887	0.0025	0.0875	0.1852	2.0
0.25	l1	lognormal	40	2	independent_null	2.5	0.2585	0.8413	0.05	220	399	7	0.0318	0.0155	0.0642	0.789	0.0048	0.4749	0.0775	0.455	0.945	0.1455
0.25	l1	lognormal	40	3	matched	2.0	0.2115	0.8596	0.05	220	399	35	0.1591	0.1167	0.2132	0.8516	0.1956	0.1577	0.0074	0.1562	0.3151	3.0
0.25	l1	lognormal	40	3	independent_null	2.0	0.2115	0.8596	0.05	220	399	15	0.0682	0.0418	0.1094	0.8233	0.0212	0.467	0.0349	0.44	0.9351	0.2455
0.25	l1	lognormal	80	1	matched	4.0	0.2474	0.7731	0.05	220	399	91	0.4136	0.3506	0.4797	0.7668	0.2362	0.0613	0.005	0.06	0.1251	1.0
0.25	l1	lognormal	80	1	independent_null	4.0	0.2474	0.7731	0.05	220	399	10	0.0455	0.0249	0.0816	0.6961	-0.0026	0.5037	0.0619	0.5088	0.9329	0.0227
0.25	l1	lognormal	80	2	matched	3.0	0.2264	0.7849	0.05	220	399	76	0.3455	0.2858	0.4105	0.7805	0.212	0.0714	0.0099	0.065	0.1504	2.0
0.25	l1	lognormal	80	2	independent_null	3.0	0.2264	0.7849	0.05	220	399	9	0.0409	0.0217	0.0759	0.7253	-0.0029	0.5119	0.0599	0.5212	0.9531	0.0545
0.25	l1	lognormal	80	3	matched	3.0	0.305	0.8158	0.05	220	399	169	0.7682	0.7081	0.8191	0.8188	0.2981	0.0305	0.0025	0.0263	0.0775	3.0
