n	noise	positive_probability	contamination_fraction	magnitude_family	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
12	0.5	0.65	0.0	uniform	huber_primary	1500	499	0.15066666666666667	0.13345716003552036	0.16966086889431312
12	0.5	0.65	0.0	uniform	huber_cap6	1500	499	0.15133333333333332	0.13408940459053803	0.1703585517650018
12	0.5	0.65	0.0	lognormal	original_l2	1500	499	0.2966666666666667	0.2740935160023421	0.32027861915719835
12	0.5	0.65	0.0	lognormal	original_l1	1500	499	0.236	0.2152027873027332	0.25814595211752256
12	0.5	0.65	0.0	lognormal	huber_primary	1500	499	0.26266666666666666	0.24102226614403294	0.2855235703044799
12	0.5	0.65	0.0	lognormal	huber_cap6	1500	499	0.264	0.24231608883045627	0.28688960246946943
12	0.5	0.65	0.05	uniform	original_l2	1500	499	0.051333333333333335	0.041267385200304804	0.06369145729927139
12	0.5	0.65	0.05	uniform	original_l1	1500	499	0.06066666666666667	0.04967170257629275	0.0739061238831734
12	0.5	0.65	0.05	uniform	huber_primary	1500	499	0.06066666666666667	0.04967170257629275	0.0739061238831734
12	0.5	0.65	0.05	uniform	huber_cap6	1500	499	0.059333333333333335	0.04846576891093947	0.07245220269711383
12	0.5	0.65	0.05	lognormal	original_l2	1500	499	0.048	0.03828904363175826	0.06002016173928581
12	0.5	0.65	0.05	lognormal	original_l1	1500	499	0.068	0.05633216548816217	0.08187486265407465
12	0.5	0.65	0.05	lognormal	huber_primary	1500	499	0.07	0.05815622865824503	0.08404058176111108
12	0.5	0.65	0.05	lognormal	huber_cap6	1500	499	0.07266666666666667	0.06059296430671563	0.08692355581546618
20	0.15	0.5	0.0	uniform	original_l2	1500	499	0.7606666666666667	0.7384257136985264	0.7815759097526858
20	0.15	0.5	0.0	uniform	original_l1	1500	499	0.5106666666666667	0.4853744676936894	0.5359043711176136
20	0.15	0.5	0.0	uniform	huber_primary	1500	499	0.5926666666666667	0.5675959364457036	0.6172639757274895
20	0.15	0.5	0.0	uniform	huber_cap6	1500	499	0.5926666666666667	0.5675959364457036	0.6172639757274895
20	0.15	0.5	0.0	lognormal	original_l2	1500	499	0.9053333333333333	0.8894655658661527	0.9191303089633535
20	0.15	0.5	0.0	lognormal	original_l1	1500	499	0.78	0.758335967531003	0.8002335512656954
20	0.15	0.5	0.0	lognormal	huber_primary	1500	499	0.7953333333333333	0.7741736601873762	0.8149841894005699
