section	source_file	kind	background	n	k_extremes	scenario	target_corr	selected_magnitude	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	40	1	independent_null	0.35	3.5	0.05	300	499	17	0.0567	0.0357	0.0889	0.8723	0.0054	0.5035	0.0477	0.507	0.96	0.0367
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	40	2	matched	0.35	3.0	0.05	300	499	203	0.6767	0.6218	0.7271	0.9312	0.383	0.0398	0.002	0.032	0.1101	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	40	2	independent_null	0.35	3.0	0.05	300	499	15	0.05	0.0305	0.0808	0.8852	0.0002	0.501	0.0535	0.49	0.9561	0.0967
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	40	3	matched	0.35	2.5	0.05	300	499	137	0.4567	0.4012	0.5132	0.9349	0.3223	0.0657	0.002	0.057	0.162	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	40	3	independent_null	0.35	2.5	0.05	300	499	19	0.0633	0.0409	0.0968	0.9046	0.0233	0.4625	0.0417	0.464	0.9441	0.2833
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	80	1	matched	0.35	5.0	0.05	300	499	276	0.92	0.8837	0.9457	0.9022	0.3861	0.0219	0.002	0.018	0.052	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	80	1	independent_null	0.35	5.0	0.05	300	499	16	0.0533	0.0331	0.0849	0.8398	0.0148	0.4626	0.0459	0.447	0.94	0.0233
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	80	2	matched	0.35	3.5	0.05	300	499	236	0.7867	0.7368	0.8292	0.9043	0.3185	0.0281	0.002	0.022	0.07	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	80	2	independent_null	0.35	3.5	0.05	300	499	13	0.0433	0.0255	0.0727	0.8568	-0.003	0.5141	0.0639	0.529	0.9621	0.0567
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	lognormal	80	3	matched	0.35	3.5	0.05	300	499	299	0.9967	0.9814	0.9994	0.9195	0.4051	0.0106	0.002	0.006	0.036	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	lognormal	80	3	independent_null	0.35	3.5	0.05	300	499	16	0.0533	0.0331	0.0849	0.8615	-0.0031	0.508	0.0479	0.505	0.9461	0.0933
